Year,Site,Date,Observer,Obs_effort,Transport,Survey_area,Nest_searching,Banding,Aqua_prey,Terre_prey,Pond_hydro,Pred_lemm,Other_activity,Notes
2013,nome,08-Jul-13,triecke,3,foot,,y,n,n,n,n,n,NC/HC,
2013,nome,09-Jul-13,dborden,1,foot,east,n,n,n,n,n,n,NC/HC,
2013,nome,09-Jul-13,ekwon,4,foot,"west,central,east",y,n,n,n,n,n,NC/HC,
2013,nome,09-Jul-13,triecke,5,foot,"west,central,east",y,n,n,n,n,n,NC/HC,
2013,nome,10-Jul-13,dborden,2,foot,,y,n,n,n,n,n,NC/HC,
2013,nome,10-Jul-13,ekwon,2,foot,,y,n,n,n,n,n,NC/HC,
2013,nome,10-Jul-13,triecke,2,foot,west,y,n,y,n,n,n,NC/HC,
2013,nome,11-Jul-13,dborden,0,foot,,n,n,n,n,n,n,n,
2013,nome,11-Jul-13,ekwon,2.5,foot,"west,central,east",y,n,n,n,n,n,NC/HC,
2013,nome,11-Jul-13,triecke,0,foot,,n,n,n,n,n,n,n,
2013,nome,12-Jul-13,dborden,0,foot,,n,n,n,n,n,n,n,
2013,nome,12-Jul-13,ekwon,0,foot,,n,n,n,n,n,n,n,
2013,nome,12-Jul-13,triecke,3,foot,"west,central,east",y,n,n,n,n,n,NC/HC,
2013,nome,13-Jul-13,dborden,3,foot,"central,east",y,n,y,n,n,n,NC/HC,
2013,nome,13-Jul-13,ekwon,1,foot,west,y,n,n,n,n,n,NC/HC,
2013,nome,13-Jul-13,triecke,2,foot,west,n,n,y,n,n,n,n,
2013,nome,14-Jul-13,dborden,0,,,n,n,n,n,n,n,n,
2013,nome,14-Jul-13,ekwon,0,,,n,n,n,n,n,n,n,
2013,nome,14-Jul-13,triecke,0,,,n,n,n,n,n,n,n,
2013,nome,15-Jul-13,dborden,0,,,n,n,n,n,n,n,n,
2013,nome,15-Jul-13,ekwon,2,foot,central,y,n,n,n,n,n,NC/HC,
2013,nome,15-Jul-13,triecke,2,foot,central,y,n,n,n,n,n,NC/HC,
2014,nome,14-May-14,dhodkinson,0.5,foot,west,y,n,n,n,n,n,resighting,
2014,nome,15-May-14,dhodkinson,1.5,foot,west,y,n,n,n,n,n,resighting,
2014,nome,17-May-14,dhodkinson,3,foot,east,y,n,n,n,n,n,resighting,
2014,nome,17-May-14,ekwon,3,foot,east,y,n,n,n,n,n,resighting,
2014,nome,18-May-14,ekwon,0.5,foot,central,,,,,,,incidental,
2014,nome,19-May-14,ekwon,6.5,foot,central,y,n,n,n,n,n,resighting,
2014,nome,19-May-14,dhodkinson,4,foot,west,y,n,n,n,n,n,resighting,
