Site,Year,Date,Start_time,End_time,Transect_ID,Start_lat,End_lat,Start_lon,End_lon,Observer,brle_count,cole_count,unle_count
ikpi,2012,8-Jul-12,11:55,12:50,plot6,70.5308,70.53975,154.68693,154.68341,kpietrzak,0,0,0
ikpi,2011,9-Jul-11,12:43,14:55,plot4,70.58572,70.57717,154.70233,154.71078,kpietrzak,0,0,0
ikpi,2011,10-Jul-11,13:43,15:32,plot6,70.5308,70.53975,154.68693,154.68341,kpietrzak,0,0,0
ikpi,2012,7-Jul-12,14:43,15:45,plot10,70.54079,70.54728,154.75922,154.74055,kpietrzak,0,0,0
ikpi,2012,7-Jul-12,15:55,17:19,plot9,70.53647,70.5446,154.75169,154.74032,kpietrzak,0,0,0
chur,2014,5-Jul-14,12:30,13:30,4,58.66738,58.66746,93.80068,93.83456,lkoloski,0,0,0
made,2011,5-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,lpirie,2,0,0
made,2011,8-Jun-11,11:00,15:00,,69.370833,69.370833,134.887778,134.887778,"lpirie, mmichaud",1,0,0
ikpi,2012,28-Jun-12,9:38,16:00,plot9,70.53647,70.5446,154.75169,154.74032,mmudge,0,0,2
ikpi,2012,26-Jun-12,9:40,16:30,plot2,70.55684,70.5555,154.69867,154.72511,mmudge,5,0,0
ikpi,2011,29-Jun-11,9:45,16:04,plot10,70.54079,70.54728,154.75922,154.74055,mmudge,0,0,0
ikpi,2011,28-Jun-11,9:45,15:03,plot7,70.5348,70.53978,154.71918,154.69688,mmudge,0,0,0
ikpi,2011,27-Jun-11,9:45,17:20,plot1,70.56475,70.55595,154.67144,154.67668,mmudge,1,0,0
ikpi,2012,15-Jun-12,9:53,18:00,plot2,70.55684,70.5555,154.69867,154.72511,mmudge,6,0,1
ikpi,2011,16-Jun-11,10:00,16:30,plot7,70.5348,70.53978,154.71918,154.69688,mmudge,0,0,0
